Team,Conference,ConferenceAbbrev,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Georgia Southern,Sun Belt,Sun Belt,Eagles,GASO,Ga Southern,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia St.,Sun Belt,Sun Belt,Panthers,GAST,GSU,Georgia St,Georgia State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Louisiana,Sun Belt,Sun Belt,Ragin' Cajuns,ULL,Louisiana Lafayette,Louisiana-Lafayette,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png
UL Monroe,Sun Belt,Sun Belt,Warhawks,ULM,Louisiana Monroe,Louisiana-Monroe,La-Monroe,LA-Monroe,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
South Alabama,Sun Belt,Sun Belt,Jaguars,USA,S Alabama,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png
Texas St.,Sun Belt,Sun Belt,Bobcats,TXST,Texas St,Texas State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png
Troy,Sun Belt,Sun Belt,Trojans,TROY,Troy St.,Troy St,Troy State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
Cal Poly,Big Sky,Big Sky,Mustangs,CP,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Eastern Washington,Big Sky,Big Sky,Eagles,EWU,E Washington,Eastern Washington Eagles,E. Washington,East. Washington,East Washington,,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png
Idaho,Big Sky,Big Sky,Vandals,IDHO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Idaho State,Big Sky,Big Sky,Bengals,IDST,Idaho St,Idaho St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Montana,Big Sky,Big Sky,Grizzlies,MONT,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png
Montana State,Big Sky,Big Sky,Bobcats,MTST,Montana St,Montana St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png
Northern Arizona,Big Sky,Big Sky,Lumberjacks,NAU,N Arizona,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png
Northern Colorado,Big Sky,Big Sky,Bears,UNCO,N Colorado,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png
Portland State,Big Sky,Big Sky,Vikings,PRST,Portland St,Portland St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png
Sacramento State,Big Sky,Big Sky,Hornets,SAC,Sacramento St,Sacramento St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
